,Datetime,Tweet Id,Text,Media
71,2022-02-01 16:45:00+00:00,1488553983648088074,"As tensions mount on the border between Ukraine and Russia, senior analyst Jeffrey Edmonds explains what the military hardware looks like on each side https://t.co/oF9KJFNUMm https://t.co/aADngkWkar",CNN
72,2022-02-01 16:38:01+00:00,1488552227514069002,An NSA watchdog has found the agency failed to follow both court-approved and internal procedures designed to prevent officials from using a controversial foreign surveillance law to inappropriately monitor Americans' communications https://t.co/QNFiNzCnC2,CNN
73,2022-02-01 16:30:00+00:00,1488550209844035586,A driver's dashcam captured the moments leading up to him firing 11 rounds at another driver during a road rage encounter. CNN's Alexandra Field reports https://t.co/FHJMgrRiGX https://t.co/8YT1XhRBYz,CNN
74,2022-02-01 16:27:41+00:00,1488549625640460293,"""The most ambitious quarantine attempted anywhere since the start of the pandemic"" -- Selina Wang reveals what it's like to fly into Beijing's Olympic ""bubble"" https://t.co/jTTFSCmpeU",CNN
75,2022-02-01 16:20:43+00:00,1488547872450785290,A documentary looks at the life and career of the highest-ranking African American woman in the U.S Congress. David Daniel talked with Rep. Lee about the film https://t.co/NBtEHIZiGN https://t.co/NKCl8iav7Z,CNN
76,2022-02-01 16:14:44+00:00,1488546366280327170,"Moses J. Moseley, who portrayed one of the zombies on ""The Walking Dead,"" has died, his talent manager Gail Tassell confirmed to CNN https://t.co/nUgTYzaC6H",CNN
77,2022-02-01 15:57:36+00:00,1488542056821760003,"The announcement will end 18 months of market research for the team, which ditched its previous name under growing pressure in July 2020 because of its racist connotations https://t.co/ZztSLQTIV4",CNN
78,2022-02-01 15:47:55+00:00,1488539617766875149,"Two synagogues in Chicago were vandalized over the weekend and someone is in custody, officials said, as American Jewish communities remain on edge over anti-Semitic incidents, including last month's hostage-taking at a Texas synagogue https://t.co/NkiAhePWEF",CNN
79,2022-02-01 15:31:52+00:00,1488535581323927571,"Talk about a memorable arrival into the world -- or, in this case, above the world https://t.co/7vjsbOe7Xy",CNN
80,2022-02-01 15:22:47+00:00,1488533292714545159,"At her fourth Olympics, Elana Meyers Taylor had hoped to stand on the podium with her son in her arms. Now, it's uncertain if she will be able to take part in the Games https://t.co/XUR98OYqLD",CNN
